tx_id	gene_id
YBR127C_id001	YBR127C
YBR127C_id002	YBR127C
YBR128C_id001	YBR128C
YBR128C_id002	YBR128C
YBR129C_id001	YBR129C
YBR129C_id006	YBR129C
YBR130C_id002	YBR130C
YBR130C_id001	YBR130C
YBR131W_id002	YBR131W
YBR131W_id001	YBR131W
YBR131C-A_mRNA	YBR131C-A
YBR132C_id002	YBR132C
YBR132C_id001	YBR132C
YBR133C_id001	YBR133C
YBR133C_id006	YBR133C
YBR134W_mRNA	YBR134W
YBR135W_id001	YBR135W
YBR135W_id002	YBR135W
YBR136W_mRNA	YBR136W
YBR137W_id001	YBR137W
YBR137W_id004	YBR137W
YBR138C_id001	YBR138C
YBR139W_id004	YBR139W
YBR139W_id001	YBR139W
YBR140C_mRNA	YBR140C
YBR141C_id001	YBR141C
YBR141C_id003	YBR141C
YBR141W-A_id001	YBR141W-A
YBR141W-A_id002	YBR141W-A
YBR142W_id003	YBR142W
YBR142W_id001	YBR142W
YBR143C_id001	YBR143C
YBR143C_id002	YBR143C
YBR144C_mRNA	YBR144C
YBR145W_id004	YBR145W
YBR145W_id001	YBR145W
YBR146W_id002	YBR146W
YBR146W_id001	YBR146W
YBR147W_id001	YBR147W
YBR147W_id003	YBR147W
YBR148W_mRNA	YBR148W
YBR149W_id001	YBR149W
YBR149W_id004	YBR149W
YBR150C_mRNA	YBR150C
YBR151W_id003	YBR151W
YBR151W_id001	YBR151W
YBR152W_mRNA	YBR152W
YBR153W_id001	YBR153W
YBR153W_id004	YBR153W
YBR154C_id001	YBR154C
YBR154C_id002	YBR154C
YBR155W_id001	YBR155W
YBR155W_id007	YBR155W
YBR156C_id001	YBR156C
YBR156C_id002	YBR156C
YBR157C_id001	YBR157C
YBR157C_id002	YBR157C
YBR158W_id001	YBR158W
YBR158W_id003	YBR158W
YBR159W_id001	YBR159W
YBR159W_id002	YBR159W
YBR160W_id002	YBR160W
YBR160W_id001	YBR160W
YBR161W_id002	YBR161W
YBR161W_id001	YBR161W
YBR162C_id004	YBR162C
YBR162C_id001	YBR162C
YBR162W-A_id001	YBR162W-A
YBR162W-A_id009	YBR162W-A
YBR163W_id005	YBR163W
YBR163W_id001	YBR163W
YBR164C_id001	YBR164C
YBR164C_id002	YBR164C
YBR165W_id001	YBR165W
YBR165W_id005	YBR165W
YBR166C_id001	YBR166C
YBR166C_id003	YBR166C
YBR167C_id001	YBR167C
YBR167C_id002	YBR167C
YBR168W_id001	YBR168W
YBR169C_id001	YBR169C
YBR169C_id002	YBR169C
YBR170C_id001	YBR170C
YBR170C_id002	YBR170C
YBR171W_id001	YBR171W
YBR171W_id003	YBR171W
YBR172C_id001	YBR172C
YBR173C_id001	YBR173C
YBR173C_id002	YBR173C
