gene_id	SNF2KO_01	SNF2KO_02	SNF2KO_03	SNF2KO_04	SNF2KO_05	SNF2KO_06	SNF2KO_07	SNF2KO_08	SNF2KO_09	SNF2KO_10	SNF2KO_11	SNF2KO_12	WT_01	WT_02	WT_03	WT_04	WT_05	WT_06	WT_07	WT_08	WT_09	WT_10	WT_11	WT_12
YMR005W	47.691655	37.373269	44.049282	28.518825	41.228702	33.953949	56.53602	45.080901	42.488709	40.369974	40.407788	52.27215	51.106448	47.189596	34.356135	42.168269	56.084138	58.46206	53.775672	51.054347	29.312387	39.269385	35.002727	33.612027
YMR006C	32.765354	14.708644	21.549883	17.57831	27.844458	18.714384	37.64258	27.080319	21.686274	20.470646	23.277988	17.286492	79.025121	100.039299	95.85987	93.364379	70.800947	107.417203	90.203457	70.346629	71.642165	55.161273	74.651363	59.944261
YMR007W	5.963442	5.779985	19.631837	7.975055	22.171669	11.46211	36.148102	10.146635	5.852836	24.948602	5.965245	0	6.939787	11.897925	6.13957	36.369425	15.356331	8.807247	5.696184	12.222403	5.497895	16.450466	0	27.520523
YMR008C	36.655988	28.378451	33.409739	16.496209	38.657612	40.044468	34.474367	24.129944	26.435901	43.49798	41.012104	42.637681	137.978991	42.555844	77.068547	66.663409	125.097066	39.079388	51.173197	107.294129	63.789461	102.801549	118.569527	139.847793
YMR008C-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YMR009W	63.674987	54.227307	44.634496	34.518889	45.026742	77.100968	66.322922	43.7437	56.800918	55.720341	63.742832	65.126827	52.90169	57.904817	60.559846	45.039225	66.826587	42.544804	51.550527	61.20684	47.870357	46.671168	50.367879	59.248771
YMR010W	57.369874	23.917312	37.40546	31.693761	46.734361	37.384369	58.077315	44.453392	44.475279	38.747562	30.40648	30.38052	41.492558	30.816663	33.787625	48.662867	53.846486	47.957785	39.726205	28.547877	19.964888	34.983585	18.709422	35.089774
YMR011W	1586.389727	722.879506	833.041556	806.700944	1333.797113	807.613435	1341.210646	945.667221	949.448021	816.073707	1021.473348	805.614561	1949.525533	1392.721711	1766.978308	1762.388993	2393.692364	1538.440879	1510.574141	1911.338845	1627.00789	1988.184091	1480.066166	2095.842172
YMR012W	59.428433	30.597955	57.509759	38.673193	48.050138	53.427063	52.263491	55.724012	59.090465	52.221767	59.313058	66.997207	51.185728	64.013391	53.869563	76.272618	88.585692	88.842602	56.765157	49.038308	49.007261	51.638373	50.880272	64.292709
YMR013C	0	5.767982	11.901514	0	11.892814	0	8.884015	8.210386	0	7.746474	0	13.600138	0	0	8.93876	19.083688	12.709108	22.815939	17.12	0	2.54216	0	0	10.865337
YMR013C-A	20.03092	4.500843	0	6.250503	9.581703	14.889185	0	0	14.491379	2.263409	13.282146	0	9.033111	16.648843	0	0	0	0	0	12.061846	0	13.614937	9.204391	0
YMR013W-A	9.18506	1.734606	15.728019	3.070855	10.820358	8.407645	8.455131	3.907011	2.045753	0	11.419592	9.079747	4.437942	4.432237	4.253617	9.081203	7.055746	4.470628	0	10.370414	2.117006	6.342683	0	7.125938
YMR014W	12.14028	11.208761	19.407263	12.62762	22.568394	24.694972	12.417225	33.279507	20.25213	20.78162	29.516677	26.380991	27.373803	48.822596	41.229351	57.347707	30.39545	43.332793	63.862838	20.712819	30.819862	21.113724	20.919634	15.945854
YMR015C	25.478556	13.122668	16.66212	13.16462	18.29966	22.26198	3.198245	26.601652	20.317407	26.468661	16.12645	16.872089	30.216598	45.37861	36.47014	40.585515	36.771687	54.114038	40.92997	23.013302	38.43746	27.723958	17.960567	35.366672
YMR016C	38.744251	29.267526	44.129371	17.271231	44.264954	39.898094	27.491988	34.41778	33.079201	51.653994	44.155756	35.033956	40.560102	34.502745	38.875479	35.912031	54.564439	48.04703	40.091928	36.453577	43.905415	34.929602	35.467585	39.757256
