gene_id	log2FoldChange	padj
TRINITY_DN1029_c0_g1_i1	-2.62873575012992	0.00343883826954475
TRINITY_DN5501_c0_g1_i1	-1.47546113064764	0.0036008446219887
TRINITY_DN1917_c0_g1_i1	-1.10373400937792	0.00364955988545496
TRINITY_DN5379_c0_g1_i1	-1.0227676659913	0.00372659265538131
TRINITY_DN1477_c0_g1_i1	-1.39622041638462	0.00389450437114171
TRINITY_DN4489_c0_g1_i1	-2.43703660877869	0.00436338544807774
TRINITY_DN3195_c0_g1_i1	-1.37916527787558	0.0045118449324664
TRINITY_DN5826_c0_g1_i1	-1.2947983137683	0.00454599709530201
TRINITY_DN2428_c0_g1_i1	-2.53138465615888	0.00454761659455559
TRINITY_DN1323_c0_g1_i1	-1.04613350934717	0.00460757338380902
TRINITY_DN7539_c0_g1_i1	-1.74783715461702	0.00464052264356303
TRINITY_DN9188_c0_g1_i1	-1.42094835259996	0.00469451296743441
TRINITY_DN6780_c0_g1_i1	-1.12911591178525	0.00545478440950152
TRINITY_DN8806_c0_g1_i1	-2.06628031606873	0.00559767258909389
TRINITY_DN2931_c0_g1_i1	-1.1188651277249	0.00564944326690728
TRINITY_DN6238_c0_g1_i1	-1.20150687456678	0.00574183634374562
TRINITY_DN6589_c0_g1_i1	-2.47401659492835	0.00631526768018251
TRINITY_DN2666_c0_g1_i1	-2.10589389146481	0.0063297320501475
TRINITY_DN1652_c0_g1_i1	-2.47760330262749	0.00636439843266081
TRINITY_DN7823_c0_g1_i1	-1.70644516815084	0.00645604264260605
TRINITY_DN9475_c0_g1_i1	-2.39605005389242	0.0064813070037151
TRINITY_DN2492_c0_g1_i1	-1.46585844020849	0.00664772624183596
TRINITY_DN3320_c0_g1_i1	-2.53975261322581	0.00666651001653953
TRINITY_DN4879_c0_g1_i1	-2.38947606488675	0.00698794100697361
TRINITY_DN65_c0_g1_i3	-1.43543855365776	0.00752315069861428
TRINITY_DN5018_c0_g1_i1	-2.09328805619302	0.00756932293071895
TRINITY_DN7807_c0_g1_i1	-1.39930260350551	0.00767662999101938
